Nama Pengguna,Rating,Ulasan
IPOS,bintang 5,"Stepingnya ditingkatin lg kyk awal om, sy bandingin sm produk yg lama dgn yg br dateng agak sedikit berbeda ketajaman wangi dan ketahannya 🙏"
W***u,bintang 5,wanginya suka. cocok.
E***y,bintang 5,Packaging rapi. Pelayanan ramah. Pengiriman cepat. Terima kasih 🙂
Xon,bintang 5,"Respon cepat, kualitas barang jg cukup bagus. Awalnya agak aneh bau parfumnya, tapi ternyata lama2 enak jg di hidung. Lumayan tahan lama baunya, mungkin 8 jam masih nyant..."
Robbi,bintang 5,splnya mantep
Ahmad,bintang 5,Enak wanginya dan cepat dikirim
Irfan,bintang 5,"wangi soft, elegant, tahan lama. pokoknya top markotop"
A***i,bintang 5,"wanginya enak, walau strong di awal, lama2 jadi kalem"
Mohamad,bintang 5,"harum enak, admin ramah, pengiriman cepat sat set"
Daclo,bintang 5,Pembelian ke2 suka banget
Saka,bintang 5,mantabbb. .
F***y,bintang 5,Suka sekali... bakalan beli lagi deh... terimakasih banyak ya
H***a,bintang 5,Pembelian kedua dan wanginya emang candu. TOP 👍🏻👍🏻
R***l,bintang 5,"wanginya tahan lama, cocok juga wanginya sama saya"
TONY,bintang 5,"Suka sm wanginy, tapi yah gtu ga bgtu tahan lama"
Bowo,bintang 5,enak wanginya
Wawan,bintang 5,"pengiriman dan packaging oke, seller responsif dan semoga cocok dengan produknya. Terima kasih."
Kristanto,bintang 5,Terimakasih
e***n,bintang 5,Barang Ori Bagus Mantap 🔥 Packing Aman Keren 🔥 Pengiriman Cepat Gesit 🔥 Respon Seller Tanggap 🔥 TOKO INI TERMASUK RECOMMENDED SELLER🫵🫵🫵
Triputranta,bintang 5,baunya sesuai deskripsi. cocook bangettt.
F***n,bintang 5,Performa penjualnya benar-benar responsif. Aroma ini yang sering semwriwing di kantor saya. Jadi ngerti kemungkinan aroma ya Oud-nya Cave ini. Terasa banget kuat aroman...
Alfred,bintang 5,"Packing rapih, wanginya bener2 khas, awet, dan elegan. Thx cave."
A***a,bintang 5,Betul seperti parfum import yg jauh lebih mahal.
hendry,bintang 5,Proses cepat oleh seller. Pengiriman jg cepat. Parfum wangi nya mantap kok. Nga kaya parfum murahan wanginya. Semoga tahan lama. Baru test sedikit u di tangan. Thanks
N***i,bintang 5,wanginya tahan lama
Steve,bintang 5,Barang sesuai dan pengiriman sangat cepat
K***a,bintang 5,"Wangi tahan lama, tahan sampai 8 jam. Wanginya cukup refreshing. Tepat waktu, packaging oke"
r***a,bintang 5,Lovee
Arifin,bintang 5,Best. Packing bagus. aroma nya wangi. maskulin.
muhammad,bintang 5,wangi nya enak
Wily,bintang 5,Sesuai dengan deskripsi. Semoga awet dan cocok dengan aromanya. Terima kasih
Hanatra,bintang 5,kemaren nyoba punya temen yg 15ml enak banget aroma oud ma pedes safronnya dominan.. ini beli yg 30ml kok malah dominan manisnya ya
Adhitya,bintang 5,Wanginya enak
I***n,bintang 5,barang sesuai pesanan dan aromanya enak.
Irfan,bintang 5,"packaging rapi, aman, dan barang sesuai deskripsi juga. harumnya dominan banget di oud nya pas pertama spray, cukup strong, dan dry downnya manis banget! tinggal kita tes..."
M***o,bintang 5,Enak wanginya. Packing aman. Harga bagus. Top
U***r,bintang 5,"wanginya ingat pas umroh, banyak orang arab yg pake wangi oud ini...suka banget ...semoga wanginya bisa tahan lama pas lagi dipake"
W***n,bintang 5,"Spl,sillage buas sekali"
A***a,bintang 5,"mantap aromanya manly banget, sangat rekomendasi🔥🔥🔥"
Muhammad,bintang 5,"packing rapih, barang sesuai😍"
moch,bintang 5,packing aman batangnya bagus wangi mantap
Fitriyanto,bintang 5,aroma kyai
M***d,bintang 5,di mid notes nya sedikit manis overall wangi nya enak g senyengat parfume bapack bapack
m***d,bintang 5,"baunya enak dan nyaman,barang aman sampai tujuan"
Rizal,bintang 5,"bau enak, sangat berkarakter. mantap"
R***l,bintang 5,"Suka dgn harumnya, tahan lama juga. Mantaap surantaap lah.!"
agung,bintang 5,wangin enakkk
ibnu,bintang 5,"barang bagus, sayang ekspedisinya kek kntl.. sukses terus y cave"
R***a,bintang 5,"suka wanginya, tahan 3-4 jam okelah, wanginya lembut, mirip Harum Parfum mahal LV Nombre"
tHe,bintang 5,"Wangi nya ok, lumayan beberapa jam, laki banget, utk seller fast respon, bertanggung jawab walau sempat salah kirim barang, moga ke depannya kebih teliti lagi ya, makasih..."
Taufik,bintang 5,Harum dan ok
