Nama Pengguna,Rating,Ulasan
Nisha,bintang 5,"selalu nunggu diskonnya, EDT fav suami.."
H***m,bintang 5,parfum paling cocok buat aku
Ibnu,bintang 5,"Baunya goks pokoknya, gada kata lain lagi"
Adhy,bintang 5,tokonya bagus responnya kualitas barang oke bagnet harganya oke banget kurirnya cepet banget
Uky,bintang 5,ok sesuai
Ryan,bintang 5,Mantap pokonya lah
Afrizal,bintang 5,mantap
C***a,bintang 5,"wanginya calm, gak yang jigrak nyengat nusuk idung gitu. Sniff pertama aroma yang kecium itu rose, baru deh lama-lama jadi ada muskynya gitu. beli ini buat cowokku, tp ka..."
A***d,bintang 5,"barang bagus, wanginya tahan lama"
M***w,bintang 5,Wanginy selalu best
Yanuar,bintang 5,"Wanginya kusuka,...hanya ketahanannya kurang lama, overall OK"
hero,bintang 5,pengiriman lama walau masih dalam estimasi waktu. aroma parfum nya kayak aroma dupa/kayu orang Arab yg banyak di jual di mangdu square. mudah2an awet aroma nya di badan.
M***d,bintang 5,mantapppp
Sunk,bintang 5,"Produk sesuai deskripsi, hanya pengiriman yg agak lambat.."
Aditya,bintang 5,Akhirmya dateng juga parfum favorit gua ... wanginya manis dan misterius ... Revered Oud ... manteb ini .... makasih yaaaaa ... gercep juga tokonya langsung di proses dan...
I***m,bintang 5,👍👍👍
mohammad,bintang 5,"manis wanginya, cocok buat cewek/cowok. 5 jam udah hilang ga tersisa wanginya"
Mas,bintang 5,"Barang sesuai pesanan, aromanya enak, thanks!"
fariz,bintang 5,good
Zaki,bintang 5,wangi tahan lama. mntap
o***r,bintang 5,"parfum nya ok cocok buat saya , ok banget, saller responsiv"
gdWahyu,bintang 5,mantap
Rum,bintang 5,"wangi sesuai ekspektasi, mantab, suwun-suwun"
Yuliati,bintang 5,Terima kasih
Disto,bintang 5,Alhamdulillah semoga bermanfaat
F***z,bintang 5,wangi
