Nama Pengguna,Rating,Ulasan
Fadjar,bintang 5,"Wanginya sih enak, tapi terlalu manis baunya, kurang cocok buat cowo, wanginya awet, tapi radius wangi nya yg kurang jauh"
R***n,bintang 4,"smg sesuai review wanginya, terima kasih"
Maruf,bintang 5,sotb memang ga pernah salah wanginya
Maslika,bintang 5,"barang sampai dengan selamat, dpt sample yg oke jg wangi ny. next repeat order 👌"
Z***n,bintang 5,"Emg terbaik S.O.T.B, dulu udh 2x beli yg travel size 5ml nya akhirnya kesampaian bisa beli yg full size diskon bnyk lgi jadi 160. Dapet tester juga yg iliad cuman kurang..."
Dimas,bintang 5,Parfum Terbaik 😘 Biar Bintang 5 yang Berbicara 🤩
Naufal,bintang 5,thebest
Teguh,bintang 5,wanginnya enaak dan tahan lama makanya beli lagi
N***a,bintang 5,suka bgtt
r***i,bintang 4,Wangi nya tahan lama🥰
Tania,bintang 5,"wanginya enak, pengiriman aman dan cepet banget"
V***a,bintang 5,wangii nyaa enakkk bangett bangett walaupun parfum sejuta umat tetepp sukaaa
D***i,bintang 5,dpt free tester yg iliad huuuu makasiiii yaaa saff and co
A***a,bintang 5,"best parfume ever kalo buat sotb, beneran seenak itu dan awet bgt wanginya + dapet tester minouet dan ternyata enak juga wanginya"
M***d,bintang 5,Barang bagus banget wanginya tahan lama
R***o,bintang 5,Enak Wanginya 😉
prio,bintang 5,untuk cewek lebih pas banget
R***O,bintang 5,suka wanginya
F***o,bintang 5,sudah selalu lengganan disini
s***n,bintang 5,Wangiii
E***o,bintang 5,sangat mantap. bini jadi nempel terus suka aromanya
agung,bintang 5,"Alhamdulillah selamat sampai tujuan,mantapp wanginyaaaaa"
Lenni,bintang 5,"gilaaa ak bener2 falling in love ma saff n co terutama yg sotb.....awal2 g suka eh skrg g mau pindah ke lain hati....jd parfume fav sepanjang tahun.wanginya strong, tp en..."
Fidi,bintang 5,"Parfum yg “For Her” tp buat cowok pas, gak terlalu strong tp awet, packaging aman BANGET, Thank you"
m***i,bintang 5,wanginya manis 😁
Dindin,bintang 5,pengiriman 2 hari udah smpe aja. mantap 👍👍👍
Agus,bintang 5,"barang bagus, wangi pake banget, suka sekali, terima kasih saff & co."
Arthur,bintang 5,Cocok untuk cowok kerja di lapangan dan ruangan
boy,bintang 5,"wangi , sedikit manis , tahan lama , semprot dikit aja uda menyebar baunya + free tester aroma lain 😁"
Aldrian,bintang 5,"Starting pack kalo mau gituan sama pacar cocok lah, apalagi sama istri"
M***d,bintang 5,bagus
Yasinda,bintang 5,huhu beli 2 pc ga dpt trial nya
N***l,bintang 5,manis banget wanginya
Ongky,bintang 5,wanginya gaperna gagal
A***a,bintang 4,kalo yang suka musky and powdery this is for you! Mirip2 HMNS yang EOS sih.
Andreas,bintang 5,kualitas
maudy,bintang 5,"WANGII BNGTT, TAHAN LAMAA btw ini beli yg ke 2 kali"
M***d,bintang 5,"barang sesuai pesanan, pelayanan cepat, datang tepat waktu, semoga bermanfaat... sukses buat seller & tokopedia"
Giovanni,bintang 5,"Wanginya menenangkan, tapi panas di kulit"
Rani,bintang 5,"botol sotb ke-2 kuuuu, alhamdulillah bgt dpt promo dari tokped💖💖 free vial solaris, botol spray nya lebih enak yg ini dibanding yg pertama aku beli packing aman gaada y..."
abdul,bintang 5,"wangi,tahan lama,testernya juga wangi enak"
Moraenda,bintang 5,ini favoritku si yg sotb ❤❤❤ wanginya awet seharian. next bakal reorder lagi sih ini. trs dikasih tester juga dan pas bgt kemarin milih antara sotb sama minouet dan akhir...
G***a,bintang 5,wanginya enak dan tahan lama...dipake siang atau pun malam tetap cocok
K***a,bintang 5,"Sebenernya salah order 😪, udh pny yg sotb, tdnya mo order ostara..akhirnya sotb ini dijual ke temen dgn harga diskon dikit wkwkwk"
y***s,bintang 5,"blm buka,tp gift nya wangi.. packing ok,, pengiriman cepat 👍👍"
i***a,bintang 5,"pengiriman cepat, barang sesuai dengan pesanan, dapat free gift juga, makasih 🙏"
